Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
7450.0,65.0,82000.0,Petrol,86,1,0,1300,3,1015
7250.0,74.0,130025.0,Petrol,110,1,0,1600,3,1050
8950.0,80.0,64000.0,Petrol,110,0,0,1600,3,1055
11450.0,54.0,62987.0,Petrol,110,0,0,1600,5,1080
,42.0,38932.0,Petrol,110,1,0,1600,3,1040
6950.0,80.0,62581.0,Petrol,110,0,0,1600,5,1075
8250.0,70.0,59017.0,petrol,107,1,1,1600,3,1080
12950.0,44.0,41499.0,CNG,110,1,0,1600,5,1103
9950.0,65.0,65513.0,Petrol,110,1,1,1600,4,1070
7900.0,75.0,125400.0,Petrol,110,0,0,1600,3,1050
6495.0,74.0,96302.0,Petrol,86,1,0,1300,3,1015
9500.0,66.0,74963.0,Petrol,107,0,1,1600,3,1085
6490.0,80.0,100123.0,Petrol,110,1,0,1600,3,1050
7250.0,80.0,110887.0,Petrol,110,1,0,1600,3,1055
9450.0,80.0,66843.0,petrol,110,1,0,1600,5,1075
16500.0,27.0,37177.0,Petrol,110,0,0,1600,5,1130
9250.0,63.0,102807.0,Petrol,86,0,0,1300,5,1055
6900.0,69.0,146304.0,Diesel,72,1,0,2000,3,1115
11950.0,56.0,33998.0,Petrol,110,0,0,1600,5,1080
9950.0,61.0,97425.0,Petrol,110,1,0,1600,5,1075
8450.0,69.0,74573.0,Petrol,110,1,0,1600,5,1085
9950.0,63.0,57000.0,Petrol,86,1,0,1300,5,1035
13500.0,43.0,10000.0,petrol,97,1,0,1400,5,1060
8950.0,75.0,102005.0,Petrol,107,1,1,1600,5,1105
7750.0,74.0,78894.0,petrol,110,0,0,1600,5,1070
10500.0,78.0,47400.0,Petrol,86,1,0,1300,5,1040
8950.0,72.0,75525.0,Petrol,110,1,0,1600,3,1114
8500.0,78.0,90345.0,Petrol,86,1,0,1300,5,1035
9800.0,67.0,126800.0,Diesel,72,0,0,2000,5,1135
9650.0,53.0,49969.0,Petrol,110,0,0,1600,5,1075
9250.0,67.0,95750.0,Petrol,110,1,0,1600,5,1070
7950.0,57.0,72000.0,Petrol,86,0,0,1300,3,1015
20500.0,20.0,20000.0,Petrol,110,0,1,1600,5,1165
8900.0,73.0,97085.0,Petrol,110,1,0,1600,5,1085
12450.0,38.0,26262.0,Petrol,110,1,0,1600,5,1075
7750.0,73.0,39168.0,Petrol,86,0,0,1300,3,1015
10950.0,44.0,60500.0,Petrol,110,0,0,1600,5,1075
9900.0,67.0,70552.0,petrol,110,0,0,1600,5,1075
9950.0,64.0,114846.0,Petrol,110,1,0,1600,5,1075
18700.0,7.0,450.0,Petrol,97,1,0,1400,5,1110
9700.0,51.0,57645.0,Petrol,110,0,0,1600,5,1080
7600.0,78.0,36000.0,petrol,110,1,0,1600,3,1050
20500.0,12.0,5000.0,Petrol,110,1,0,1600,5,1130
10950.0,67.0,15535.0,Petrol,86,1,1,1300,4,1030
9795.0,68.0,61568.0,Petrol,110,1,0,1600,4,1035
